Song,Artist,Initials,Number
Lucy In The Sky With Diamonds,The Beatles,L___ I_ T__ S__ W___ D_______,344
Lust For Life,Iggy Pop,L___ F__ L___,345
Lyla,Oasis,L___,346
Mad Sounds,Arctic Monkeys,M__ S_____,347
Made of Stone,The Stone Roses,M___ o_ S____,348
Make It Right,Foo Fighters,M___ I_ R____,349
Making Love Out of Nothing at All,Air Supply,M_____ L___ O__ o_ N______ a_ A__,350
Man On The Moon,R.E.M.,M__ O_ T__ M___,351
Manhattan,Kings of Leon,M________,352
Mardy Bum,Arctic Monkeys,M____ B__,353
Maxwell's Silver Hammer,The Beatles,M______'_ S_____ H_____,354
Maybe I'm Amazed,Paul McCartney,M____ I'_ A_____,355
Meadow,Liam Gallagher,M_____,356
Mean Mr Mustard,The Beatles,M___ M_ M______,357
Mess Around,Cage The Elephant,M___ A_____,358
Message In A Bottle,The Police,M______ I_ A B_____,359
Michelle,The Beatles,M_______,360
Mind Games,John Lennon,M___ G____,361
Mirrorball,Blur,M_________,362
Mississippi Queen,Mountain,M__________ Q____,363
Misunderstood,Liam Gallagher,M____________,364
Molly's Chambers,Kings of Leon,M____'_ C_______,365
Mona Lisas And Mad Hatters,Elton John,M___ L____ A__ M__ H______,366
Money For Nothing,Dire Straits,M____ F__ N______,367
Monkey Man,The Rolling Stones,M_____ M__,368
Moonage Daydream,David Bowie,M______ D_______,369
Moondance,Van Morrison,M________,370
More Than a Feeling,Boston,M___ T___ a F______,371
Motherlover,"The Lonely Island, Justin Timberlake",M__________,372
Motorcycle Emptiness,Manic Street Preachers,M_________ E________,373
Mountain at My Gates,Foals,M_______ a_ M_ G____,374
Mr. Blue Sky,Electric Light Orchestra,M_. B___ S__,375
Mr. Brightside,The Killers,M_. B_________,376
Mr. Tambourine Man,The Byrds,M_. T_________ M__,377
Mrs. Robinson,Simon & Garfunkel,M__. R_______,378
Mutha'uckas,Flight of the Conchords,M____'_____,379
My Best Friend's Girl,The Cars,M_ B___ F_____'_ G___,380
My Generation,The Who,M_ G_________,381
My Melody,Nick Helm,M_ M_____,382
"My My, Hey Hey","Neil Young, Crazy Horse","M_ M_, H__ H__",383
My Number,Foals,M_ N_____,384
My Own Worst Enemy,Lit,M_ O__ W____ E____,385
My Sharona,The Knack,M_ S______,386
My Sweet Lord,George Harrison,M_ S____ L___,387
Mykonos,Fleet Foxes,M______,388
Naive,The Kooks,N____,389
Naked in the Rain,Red Hot Chili Peppers,N____ i_ t__ R___,390
Natalie's Rap,"The Lonely Island, Natalie Portman",N______'_ R__,391
Need You Tonight,INXS,N___ Y__ T______,392
Never Gonna Give You Up,Rick Astley,N____ G____ G___ Y__ U_,393
Never Say Goodbye,Bon Jovi,N____ S__ G______,394
"Never, Never Gonna Give Ya Up",Barry White,"N____, N____ G____ G___ Y_ U_",395
New Kid in Town,Eagles,N__ K__ i_ T___,396
Night Running,"Cage The Elephant, Beck",N____ R______,397
Nighttime Girls,The Districts,N________ G____,398
Nine to Five,Dolly Parton,N___ t_ F___,399
No Expectations,The Rolling Stones,N_ E___________,400
No survivors,Nick Helm,N_ s________,401
No You Girls,Franz Ferdinand,N_ Y__ G____,402
No. 1 Party Anthem,Arctic Monkeys,N_. 1 P____ A_____,403
Norgaard,The Vaccines,N_______,404
Norwegian Wood,The Beatles,N________ W___,405
Notion,Kings of Leon,N_____,406
November Rain,Guns N' Roses,N_______ R___,407
Octopus's Garden,The Beatles,O______'_ G_____,408
Oh My God,Kaiser Chiefs,O_ M_ G__,409
Old Town Road,"Lil Nas X, Billy Ray Cyrus",O__ T___ R___,410
On The Run,Pink Floyd,O_ T__ R__,411
Once,Liam Gallagher,O___,412
Once And Never Again,The Long Blondes,O___ A__ N____ A____,413
One of These Nights,Eagles,O__ o_ T____ N_____,414
One of Us,Liam Gallagher,O__ o_ U_,415
Only Happy When It Rains,Garbage,O___ H____ W___ I_ R____,416
Only You,Yazoo,O___ Y__,417
O-O-H Child,The Five Stairsteps,O-_-_ C____,418
Ooh La,The Kooks,O__ L_,419
Otherside,Red Hot Chili Peppers,O________,420
Over,Kings of Leon,O___,421
Pacifier,Catfish and the Bottlemen,P_______,422
Pale Blue Eyes,The Velvet Underground,P___ B___ E___,423
Panic,The Smiths,P____,424
Paperback Writer,The Beatles,P________ W_____,425
Paradise City,Guns N' Roses,P_______ C___,426
Paranoid,Black Sabbath,P_______,427
Parklife,Blur,P_______,428
Peace Train,Yusuf / Cat Stevens,P____ T____,429
Penny Lane,The Beatles,P____ L___,430
Perfect Day,Lou Reed,P______ D__,431
Perhaps Vampires Is A Bit Strong But…,Arctic Monkeys,P______ V_______ I_ A B__ S_____ B__…,432
Photograph,Ringo Starr,P_________,433
Piano Man,Billy Joel,P____ M__,434
Pinball Wizard,The Who,P______ W_____,435
"Please, Please, Please, Let Me Get What I Want",The Smiths,"P_____, P_____, P_____, L__ M_ G__ W___ I W___",436
Plush,Stone Temple Pilots,P____,437
Poison,Alice Cooper,P_____,438
Portuguese Knife Fight,Cage The Elephant,P_________ K____ F____,439
Proud Mary,Creedence Clearwater Revival,P____ M___,440
Psycho Killer,Talking Heads,P_____ K_____,441
Pumped Up Kicks,Foster The People,P_____ U_ K____,442
Pumping On Your Stereo,Supergrass,P______ O_ Y___ S_____,443
Punch You In The Jeans,The Lonely Island,P____ Y__ I_ T__ J____,444
Punchin' Bag,Cage The Elephant,P______' B__,445
Racing in the Street,Bruce Springsteen,R_____ i_ t__ S_____,446
Radioactive,Kings of Leon,R__________,447
Ransom,Lil Tecca,R_____,448
Ready To Let Go,Cage The Elephant,R____ T_ L__ G_,449
Real Gone Kid,Deacon Blue,R___ G___ K__,450
Rebel Heart,The Shelters,R____ H____,451
Rebel Rebel,David Bowie,R____ R____,452
Red Light Indicates Doors Are Secured,Arctic Monkeys,R__ L____ I________ D____ A__ S______,453
Reel Around the Fountain,The Smiths,R___ A_____ t__ F_______,454
Restless Heart,John Parr,R_______ H____,455
Reverend,Kings of Leon,R_______,456
Revolution,The Beatles,R_________,457
Revolution Radio,Green Day,R_________ R____,458
Rich Girl,Daryl Hall & John Oates,R___ G___,459
Riders on the Storm,The Doors,R_____ o_ t__ S____,460
Right Down the Line,Gerry Rafferty,R____ D___ t__ L___,461
Ring of Fire,Johnny Cash,R___ o_ F___,462
Riot Van,Arctic Monkeys,R___ V__,463
Riptide,Vance Joy,R______,464
Roadhouse Blues,The Doors,R________ B____,465
Robots ,Flight of the Conchords,R_____ ,466
Rock And A Hard Place,The Rolling Stones,R___ A__ A H___ P____,467
Rock 'n' Roll Star,Oasis,R___ '_' R___ S___,468
Rocket Man,Elton John,R_____ M__,469
Rocks,"Primal Scream, George Drakoulias, David Bianco",R____,470
Rocky Mountain High,"John Denver, Mike Taylor",R____ M_______ H___,471
Ruby,Kaiser Chiefs,R___,472
Ruby Tuesday,The Rolling Stones,R___ T______,473
Said I Loved You… But I Lied,Michael Bolton,S___ I L____ Y__... B__ I L___,474
Salmonella,Elliot Speller-Gillott,S_________,475
Santeria,Sublime,S_______,476
"Say You, Say Me",Lionel Richie,"S__ Y__, S__ M_",477
Second Hand News,Fleetwood Mac,S_____ H___ N___,478
Send a Picture of Mother,Johnny Cash,S___ a P______ o_ M_____,479
Sex on Fire,Kings of Leon,S__ o_ F___,480
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,S__. P_____'_ L_____ H_____ C___ B___,481
Shake Me Down,Cage The Elephant,S____ M_ D___,482
She Bangs the Drums,The Stone Roses,S__ B____ t__ D____,483
She Loves You,The Beatles,S__ L____ Y__,484
She Moves In Her Own Way,The Kooks,S__ M____ I_ H__ O__ W__,485
Sheila,Jamie T,S_____,486
She's Leaving Home,The Beatles,S__'_ L______ H___,487
She's So Lovely,Scouting For Girls,S__'_ S_ L_____,488
Ship In A Bottle,Nick Helm,S___ I_ A B_____,489
Shoot You Down,The Stone Roses,S____ Y__ D___,490
Should I Stay or Should I Go,The Clash,S_____ I S___ o_ S_____ I G_,491
Shy Ronnie 2: Ronnie & Clyde,"The Lonely Island, Rihanna",S__ R_____ 2: R_____ & C____,492
Sick Love,Red Hot Chili Peppers,S___ L___,493
"Signed, Sealed, Delivered",Stevie Wonder,"S_____, S_____, D________",494
Simple Man,Lynyrd Skynyrd,S_____ M__,495
Since You Been Gone,RAINBOW,S____ Y__ B___ G___,496
Sitting On Top Of The World,Cream,S______ O_ T__ O_ T__ W____,497
Skin and Bones,Cage The Elephant,S___ a__ B____,498
Smells Like Teen Spirit,Nirvana,S_____ L___ T___ S_____,499
Smooth Criminal,Michael Jackson,S_____ C_______,500
Snap Out Of It,Arctic Monkeys,S___ O__ O_ I_,501
Snow,Red Hot Chili Peppers,S___,502
Social Cues,Cage The Elephant,S_____ C___,503
